1 epoch, LR 0.001000, LOSS 9.661726, ACC 3.00%, EER 6.09%, bestEER 6.09%
36 epoch, LR 0.000344, LOSS 1.998753, ACC 62.83%, EER 1.27%, bestEER 1.16%
37 epoch, LR 0.000334, LOSS 1.976878, ACC 63.23%, EER 1.35%, bestEER 1.16%
38 epoch, LR 0.000324, LOSS 1.960011, ACC 63.66%, EER 1.25%, bestEER 1.16%
39 epoch, LR 0.000314, LOSS 1.933697, ACC 64.03%, EER 1.16%, bestEER 1.16%
40 epoch, LR 0.000305, LOSS 1.911901, ACC 64.36%, EER 1.19%, bestEER 1.16%
41 epoch, LR 0.000296, LOSS 1.888429, ACC 64.85%, EER 1.20%, bestEER 1.16%
42 epoch, LR 0.000287, LOSS 1.867535, ACC 65.14%, EER 1.16%, bestEER 1.16%
43 epoch, LR 0.000278, LOSS 1.849624, ACC 65.48%, EER 1.13%, bestEER 1.13%
44 epoch, LR 0.000270, LOSS 1.828790, ACC 65.82%, EER 1.13%, bestEER 1.13%
45 epoch, LR 0.000262, LOSS 1.811499, ACC 66.15%, EER 1.21%, bestEER 1.13%
46 epoch, LR 0.000254, LOSS 1.792214, ACC 66.51%, EER 1.07%, bestEER 1.07%
47 epoch, LR 0.000246, LOSS 1.777125, ACC 66.70%, EER 1.19%, bestEER 1.07%
48 epoch, LR 0.000239, LOSS 1.759068, ACC 67.09%, EER 1.11%, bestEER 1.07%
49 epoch, LR 0.000232, LOSS 1.744139, ACC 67.37%, EER 1.11%, bestEER 1.07%
50 epoch, LR 0.000225, LOSS 1.727369, ACC 67.65%, EER 1.12%, bestEER 1.07%
51 epoch, LR 0.000218, LOSS 1.710894, ACC 67.93%, EER 1.12%, bestEER 1.07%
52 epoch, LR 0.000212, LOSS 1.694940, ACC 68.22%, EER 1.11%, bestEER 1.07%
53 epoch, LR 0.000205, LOSS 1.678824, ACC 68.51%, EER 1.12%, bestEER 1.07%
54 epoch, LR 0.000199, LOSS 1.665690, ACC 68.78%, EER 1.05%, bestEER 1.05%
55 epoch, LR 0.000193, LOSS 1.648936, ACC 69.01%, EER 1.12%, bestEER 1.05%
56 epoch, LR 0.000187, LOSS 1.635648, ACC 69.29%, EER 1.12%, bestEER 1.05%
57 epoch, LR 0.000182, LOSS 1.620909, ACC 69.55%, EER 1.10%, bestEER 1.05%
58 epoch, LR 0.000176, LOSS 1.607686, ACC 69.82%, EER 1.05%, bestEER 1.05%
59 epoch, LR 0.000171, LOSS 1.594520, ACC 70.01%, EER 1.05%, bestEER 1.05%
60 epoch, LR 0.000166, LOSS 1.582528, ACC 70.20%, EER 1.18%, bestEER 1.05%
61 epoch, LR 0.000161, LOSS 1.566542, ACC 70.51%, EER 1.11%, bestEER 1.05%
62 epoch, LR 0.000156, LOSS 1.557671, ACC 70.64%, EER 1.06%, bestEER 1.05%
63 epoch, LR 0.000151, LOSS 1.541988, ACC 70.97%, EER 1.06%, bestEER 1.05%
64 epoch, LR 0.000147, LOSS 1.533218, ACC 71.11%, EER 1.00%, bestEER 1.00%
65 epoch, LR 0.000142, LOSS 1.521866, ACC 71.34%, EER 1.11%, bestEER 1.00%
66 epoch, LR 0.000138, LOSS 1.508595, ACC 71.60%, EER 1.10%, bestEER 1.00%
67 epoch, LR 0.000134, LOSS 1.494808, ACC 71.83%, EER 1.05%, bestEER 1.00%
68 epoch, LR 0.000130, LOSS 1.485277, ACC 72.00%, EER 1.05%, bestEER 1.00%
69 epoch, LR 0.000126, LOSS 1.476397, ACC 72.13%, EER 1.03%, bestEER 1.00%
70 epoch, LR 0.000122, LOSS 1.464180, ACC 72.32%, EER 0.96%, bestEER 0.96%
71 epoch, LR 0.000119, LOSS 1.455375, ACC 72.56%, EER 1.02%, bestEER 0.96%
72 epoch, LR 0.000115, LOSS 1.443504, ACC 72.80%, EER 1.02%, bestEER 0.96%
73 epoch, LR 0.000112, LOSS 1.433292, ACC 72.92%, EER 1.09%, bestEER 0.96%
74 epoch, LR 0.000108, LOSS 1.428127, ACC 73.05%, EER 1.09%, bestEER 0.96%
75 epoch, LR 0.000105, LOSS 1.417038, ACC 73.23%, EER 1.13%, bestEER 0.96%
76 epoch, LR 0.000102, LOSS 1.405440, ACC 73.46%, EER 1.06%, bestEER 0.96%
77 epoch, LR 0.000099, LOSS 1.399807, ACC 73.54%, EER 1.04%, bestEER 0.96%
78 epoch, LR 0.000096, LOSS 1.391107, ACC 73.79%, EER 1.04%, bestEER 0.96%
79 epoch, LR 0.000093, LOSS 1.382760, ACC 73.91%, EER 1.03%, bestEER 0.96%
80 epoch, LR 0.000090, LOSS 1.371865, ACC 74.04%, EER 1.03%, bestEER 0.96%
